path,type,required,constraints,description
ITR.ITR4.PersonalInfo.Address.Phone.STDcode,integer,Y,"{""minimum"":0,""maximum"":99999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.PersonalInfo.Address.Phone.PhoneNo,string,Y,"{""pattern"":""[0-9]{1,12}"",""default"":""0""}",
ITR.ITR4.PersonalInfo.Address.CountryCodeMobile,integer,Y,"{""pattern"":""[0-9]{1,5}""}",
ITR.ITR4.PersonalInfo.Address.MobileNo,integer,Y,"{""pattern"":""[1-9]{1}[0-9]{9}|[1-9]{1}[0-9]{4,9}""}",
ITR.ITR4.PersonalInfo.Address.CountryCodeMobileNoSec,integer,N,"{""pattern"":""[0-9]{1,5}""}",
ITR.ITR4.PersonalInfo.Address.MobileNoSec,integer,N,"{""pattern"":""[1-9]{1}[0-9]{9}|[1-9]{1}[0-9]{4,9}""}",
ITR.ITR4.PersonalInfo.Address.EmailAddress,string,Y,"{""maxLength"":125,""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""([\\.a-zA-Z0-9_\\-])+@([a-zA-Z0-9_\\-])+(([a-zA-Z0-9_\\-])*\\.([a-zA-Z0-9_\\-])+)+""]}",Email Id is required for receiving copy of ITR-V
ITR.ITR4.PersonalInfo.Address.EmailAddressSec,string,N,"{""maxLength"":125,""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""([\\.a-zA-Z0-9_\\-])+@([a-zA-Z0-9_\\-])+(([a-zA-Z0-9_\\-])*\\.([a-zA-Z0-9_\\-])+)+""]}",Alternate Email Id
ITR.ITR4.PersonalInfo.SecondaryAdd,string,Y,"{""enum"":[""Y"",""N""]}","Y: Yes, N : No"
ITR.ITR4.PersonalInfo.AlternateAddress,object,N,,AlternateAddress of assessee
ITR.ITR4.PersonalInfo.AlternateAddress.ResidenceNo,string,Y,"{""minLength"":1,""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.PersonalInfo.AlternateAddress.ResidenceName,string,N,"{""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.PersonalInfo.AlternateAddress.RoadOrStreet,string,N,"{""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.PersonalInfo.AlternateAddress.LocalityOrArea,string,Y,"{""minLength"":1,""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.PersonalInfo.AlternateAddress.CityOrTownOrDistrict,string,Y,"{""minLength"":1,""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
