path,type,enum,minimum,maximum
"ITR.ITR1.Schedule80G.Don100Percent.TotDon100PercentCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100Percent.TotDon100PercentOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100Percent.TotDon100Percent","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100Percent.TotEligibleDon100Percent","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.DoneeWithPan[].AddressDetail.PinCode","integer","",100000,999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.DoneeWithPan[].DonationAmtCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.DoneeWithPan[].DonationAmtOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.DoneeWithPan[].DonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.DoneeWithPan[].EligibleDonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.TotDon50PercentNoApprReqdCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.TotDon50PercentNoApprReqdOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.TotDon50PercentNoApprReqd","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentNoApprReqd.TotEligibleDon50Percent","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.DoneeWithPan[].AddressDetail.PinCode","integer","",100000,999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.DoneeWithPan[].DonationAmtCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.DoneeWithPan[].DonationAmtOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.DoneeWithPan[].DonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.DoneeWithPan[].EligibleDonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.TotDon100PercentApprReqdCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.TotDon100PercentApprReqdOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.TotDon100PercentApprReqd","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don100PercentApprReqd.TotEligibleDon100PercentApprReqd","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.DoneeWithPan[].AddressDetail.PinCode","integer","",100000,999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.DoneeWithPan[].DonationAmtCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.DoneeWithPan[].DonationAmtOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.DoneeWithPan[].DonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.DoneeWithPan[].EligibleDonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.TotDon50PercentApprReqdCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.TotDon50PercentApprReqdOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.TotDon50PercentApprReqd","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.Don50PercentApprReqd.TotEligibleDon50PercentApprReqd","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.TotalDonationsUs80GCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.TotalDonationsUs80GOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.TotalDonationsUs80G","integer","",0,99999999999999
"ITR.ITR1.Schedule80G.TotalEligibleDonationsUs80G","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.DonationDtlsSciRsrchRuralDev[].RelevantClauseUndrDedClaimed","string","[\"80GGA2a\", \"80GGA2aa\", \"80GGA2b\", \"80GGA2bb\", \"80GGA2c\", \"80GGA2cc\", \"80GGA2d\", \"80GGA2e\"]",null,null
"ITR.ITR1.Schedule80GGA.DonationDtlsSciRsrchRuralDev[].AddressDetail.PinCode","integer","",100000,999999
"ITR.ITR1.Schedule80GGA.DonationDtlsSciRsrchRuralDev[].DonationAmtCash","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.DonationDtlsSciRsrchRuralDev[].DonationAmtOtherMode","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.DonationDtlsSciRsrchRuralDev[].DonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.DonationDtlsSciRsrchRuralDev[].EligibleDonationAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.TotalDonationAmtCash80GGA","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.TotalDonationAmtOtherMode80GGA","integer","",0,99999999999999
"ITR.ITR1.Schedule80GGA.TotalDonationsUs80GGA","integer","",0,99999999999999
