Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.ResidenceNo,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.ResidenceName,Optional,object,Nested Object,maxLength=50,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.RoadOrStreet,Optional,object,Nested Object,maxLength=50,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.LocalityOrArea,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.CityOrTownOrDistrict,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.StateCode,Mandatory,object,Nested Object,,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20 ... (+18 more)",01-Andaman and Nicobar islands; 02-Andhra Pradesh; 03-Arunachal Pradesh; 04-Assam; 05-Bihar; 06-Chandigarh; 07-Dadra Nagar and Haveli; 08-Daman and Diu; 09- Delhi; 10- Goa; 11-Gujarat; 12- Haryana; 13,StateCode (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.CountryCode,Optional,object,Nested Object,,"93, 1001, 355, 213, 684, 376, 244, 1264, 1010, 1268, 54, 374, 297, 61, 43, 994, 1242, 973, 880, 1246 ... (+230 more)",93:AFGHANISTAN; 1001:ÅLAND ISLANDS; 355:ALBANIA; 213:ALGERIA; 684:AMERICAN SAMOA; 376:ANDORRA; 244:ANGOLA; 1264:ANGUILLA; 1010:ANTARCTICA; 1268:ANTIGUA AND BARBUDA; 54:ARGENTINA; 374:ARMENIA; 297:ARUB,CountryCode (allOf: nonEmptyString),
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.PinCode,Optional,integer,Scalar,pattern=[1-9]{1}[0-9]{5}; max=999999; min=100000,,,,
ITR2.PartA_GEN1.PersonalInfo.AlternateAddress.ZipCode,Optional,string,Scalar,maxLength=8,,,,
ITR2.PartA_GEN1.PersonalInfo.DOB,Mandatory,string,Scalar,pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])),,Date of birth of Assessee - On or before 2026-03-31,,
ITR2.PartA_GEN1.PersonalInfo.Status,Mandatory,string,Scalar,,"I, H",I - Individual; H - HUF,,
ITR2.PartA_GEN1.PersonalInfo.AadhaarCardNo,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus,Mandatory,object,Nested Object,,,,FilingStatus,
ITR2.PartA_GEN1.FilingStatus.ReturnFileSec,Mandatory,integer,Scalar,max=20; min=11; default=11,"11, 12, 13, 14, 16, 17, 18, 19, 20",11 - 139(1)-On or before due date; 12 - 139(4)-After due date; 13 - 142(1); 14 - 148;16 : 153C; 17 - 139(5)-Revised Return; 18 - 139(9); 19 - 92CD-Modified return; 20 - 119(2)(b)-after condonation of ,,
ITR2.PartA_GEN1.FilingStatus.OptOutNewTaxRegime,Mandatory,object,Nested Object,pattern=Y|N; default=N,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.SeventhProvisio139,Mandatory,object,Nested Object,pattern=Y|N,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.DepAmtAggAmtExcd1CrPrYrFlg,Optional,object,Nested Object,pattern=Y|N,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AmtSeventhProvisio139i,Optional,integer,Scalar,max=99999999999999; min=10000000,,,,
ITR2.PartA_GEN1.FilingStatus.IncrExpAggAmt2LkTrvFrgnCntryFlg,Optional,object,Nested Object,pattern=Y|N,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AmtSeventhProvisio139ii,Optional,integer,Scalar,max=99999999999999; min=200000,,,,
ITR2.PartA_GEN1.FilingStatus.IncrExpAggAmt1LkElctrctyPrYrFlg,Optional,object,Nested Object,pattern=Y|N,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AmtSeventhProvisio139iii,Optional,integer,Scalar,max=99999999999999; min=100000,,,,
ITR2.PartA_GEN1.FilingStatus.clauseiv7provisio139i,Optional,object,Nested Object,pattern=Y|N,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.clauseiv7provisio139iDtls,Optional,array,Array,,,,,items: object
ITR2.PartA_GEN1.FilingStatus.clauseiv7provisio139iDtls[].clauseiv7provisio139iNature,Mandatory,string,Scalar,,"1, 2","1 - the aggregate of tax deducted at source and tax collected at source during the previous year, in the case of the person, is twenty-five thousand rupees (fifty-thousand for resident senior citizen)",,
ITR2.PartA_GEN1.FilingStatus.clauseiv7provisio139iDtls[].clauseiv7provisio139iAmount,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.PartA_GEN1.FilingStatus.NoticeNo,Optional,object,Nested Object,maxLength=100,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.NoticeDate,Optional,string,Scalar,pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])),,Enter date when the notice was issued to the assessee in YYYY-MM-DD format,,
ITR2.PartA_GEN1.FilingStatus.ReceiptNo,Optional,string,Scalar,pattern=[0-9]{15},,Enter Acknowledgment No. of Original return,,
ITR2.PartA_GEN1.FilingStatus.OrigRetFiledDate,Optional,string,Scalar,pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])),,Enter Date of filing of Original return in YYYY-MM-DD format,,
ITR2.PartA_GEN1.FilingStatus.ResidentialStatus,Mandatory,object,Nested Object,,"RES, NRI, NOR",RES - Resident; NRI - Non Resident; NOR - Resident but not Ordinarily resident, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.ConditionsResStatus,Optional,object,Nested Object,,"1, 2, 3, 4, 5, 6, 7, 8, 9","1 : You were in India for 182 days or more during the previous year [section 6(1)(a)]; 2 : You were in India for 60 days or more during the previous year, and have been in India for 365 days or more w", (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.JurisdictionResPrevYr,Optional,object,Nested Object,,,,,
ITR2.PartA_GEN1.FilingStatus.TotalPrStayIndiaPrevYr,Optional,integer,Scalar,max=365; min=0,,,,
ITR2.PartA_GEN1.FilingStatus.TotalPrStayIndia4PrecYr,Optional,integer,Scalar,max=1461; min=0,,,,
ITR2.PartA_GEN1.FilingStatus.BenefitUs115HFlg,Optional,object,Nested Object,,"Y, N",Y-YES; N-NO, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AsseseeRepFlg,Optional,object,Nested Object,,"Y, N",Y - Yes; N - No, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AssesseeRep,Optional,object,Nested Object,,,Assessee representative,AssesseeRep,
ITR2.PartA_GEN1.FilingStatus.AssesseeRep.RepName,Mandatory,object,Nested Object,maxLength=125; minLength=1,,, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AssesseeRep.RepEmailID,Mandatory,object,Nested Object,pattern=([\.a-zA-Z0-9_\-])+@([a-zA-Z0-9_\-])+(([a-zA-Z0-9_\-])*\.([a-zA-Z0-9_\-])+)+; maxLength=125,,Email-id of the representative, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.AssesseeRep.CountryCodeRepMobileNo,Mandatory,integer,Scalar,"pattern=[0-9]{1,5}",,,,
ITR2.PartA_GEN1.FilingStatus.AssesseeRep.RepMobileNo,Mandatory,integer,Scalar,"pattern=[1-9]{1}[0-9]{9}|[1-9]{1}[0-9]{4,9}",,,,
ITR2.PartA_GEN1.FilingStatus.PortugeseCC5A,Optional,object,Nested Object,,"Y, N",Y - Yes; N - No, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.FiiFpiFlag,Mandatory,object,Nested Object,,"Y, N",Whether you are an FII/FPI?; Y - Yes; N - No, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.SebiRegnNo,Optional,object,Nested Object,pattern=IN[a-zA-Z]{2}FP[0-9]{6},,"if above field is selected as yes, provide SEBI Registration Number.", (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.CompDirectorPrvYrFlg,Optional,object,Nested Object,,"Y, N",Y - Yes; N - No, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.CompDirectorPrvYr,Optional,object,Nested Object,,,,,
ITR2.PartA_GEN1.FilingStatus.HeldUnlistedEqShrPrYrFlg,Mandatory,object,Nested Object,,"Y, N",Y - Yes; N - No, (allOf: nonEmptyString),
ITR2.PartA_GEN1.FilingStatus.HeldUnlistedEqShrPrYr,Optional,object,Nested Object,,,,,
ITR2.PartA_GEN1.FilingStatus.LEIDtls,Optional,object,Nested Object,,,,,
ITR2.PartA_GEN1.FilingStatus.ItrFilingDueDate,Mandatory,object,Nested Object,pattern=2026-07-31; maxLength=10; minLength=9,,, (allOf: nonEmptyString),
ITR2.ScheduleS,Optional,object,Nested Object,,,Details of Income from salary,ScheduleS,
ITR2.ScheduleS.Salaries,Optional,array,Array,minItems=1,,,,items: object
ITR2.ScheduleS.Salaries[].NameOfEmployer,Mandatory,object,Nested Object,maxLength=125; minLength=1,,Name of the employer, (allOf: nonEmptyString),
ITR2.ScheduleS.Salaries[].NatureOfEmployment,Mandatory,string,Scalar,,"CGOV, SGOV, PSU, PE, PESG, PEPS, PEO, OTH","CGOV:Central Government; SGOV:State Government; PSU:Public Sector Unit; PE:Pensioners - Central Government, PESG:Pensioners - State Government, PEPS:Pensioners - Public sector undertaking, PEO:Pension",,
ITR2.ScheduleS.Salaries[].TANofEmployer,Optional,object,Nested Object,pattern=[A-Z]{4}[0-9]{5}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleS.Salaries[].AddressDetail,Mandatory,object,Nested Object,,,,AddressDetail,
ITR2.ScheduleS.Salaries[].AddressDetail.AddrDetail,Mandatory,object,Nested Object,maxLength=200; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleS.Salaries[].AddressDetail.CityOrTownOrDistrict,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleS.Salaries[].AddressDetail.StateCode,Mandatory,object,Nested Object,,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20 ... (+18 more)",01-Andaman and Nicobar islands; 02-Andhra Pradesh; 03-Arunachal Pradesh; 04-Assam; 05-Bihar; 06-Chandigarh; 07-Dadra Nagar and Haveli; 08-Daman and Diu; 09- Delhi; 10- Goa; 11-Gujarat; 12- Haryana; 13,StateCode (allOf: nonEmptyString),
ITR2.ScheduleS.Salaries[].AddressDetail.PinCode,Optional,integer,Scalar,pattern=[1-9]{1}[0-9]{5}; max=999999; min=100000,,,,
ITR2.ScheduleS.Salaries[].AddressDetail.ZipCode,Optional,object,Nested Object,maxLength=8,,, (allOf: nonEmptyString),
ITR2.ScheduleS.Salaries[].Salarys,Mandatory,object,Nested Object,,,,,
ITR2.ScheduleS.TotalGrossSalary,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleS.AllwncExtentExemptUs10,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleS.AllwncExemptUs10,Optional,object,Nested Object,,,,,
ITR2.ScheduleS.Section10_13A,Optional,object,Nested Object,,,,,
ITR2.ScheduleS.Increliefus89A,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleS.NetSalary,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleS.DeductionUS16,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleS.DeductionUnderSection16ia,Mandatory,integer,Scalar,max=75000; min=0; default=0,,,,
ITR2.ScheduleS.EntertainmntalwncUs16ii,Mandatory,integer,Scalar,max=5000; min=0; default=0,,,,
ITR2.ScheduleS.ProfessionalTaxUs16iii,Mandatory,integer,Scalar,max=5000; min=0; default=0,,,,
ITR2.ScheduleS.TotIncUnderHeadSalaries,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP,Optional,object,Nested Object,,,Income from house property,ScheduleHP,
ITR2.ScheduleHP.PropertyDetails,Optional,array,Array,,,,,items: object
ITR2.ScheduleHP.PropertyDetails[].HPSNo,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode,Mandatory,object,Nested Object,,,,AddressDetailWithZipCode,
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode.AddrDetail,Mandatory,object,Nested Object,maxLength=200; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode.CityOrTownOrDistrict,Mandatory,object,Nested Object,maxLength=50; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode.StateCode,Mandatory,object,Nested Object,,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20 ... (+18 more)",01-Andaman and Nicobar islands; 02-Andhra Pradesh; 03-Arunachal Pradesh; 04-Assam; 05-Bihar; 06-Chandigarh; 07-Dadra Nagar and Haveli; 08-Daman and Diu; 09- Delhi; 10- Goa; 11-Gujarat; 12- Haryana; 13,StateCode (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode.CountryCode,Mandatory,object,Nested Object,,"93, 1001, 355, 213, 684, 376, 244, 1264, 1010, 1268, 54, 374, 297, 61, 43, 994, 1242, 973, 880, 1246 ... (+230 more)",93:AFGHANISTAN; 1001:ÅLAND ISLANDS; 355:ALBANIA; 213:ALGERIA; 684:AMERICAN SAMOA; 376:ANDORRA; 244:ANGOLA; 1264:ANGUILLA; 1010:ANTARCTICA; 1268:ANTIGUA AND BARBUDA; 54:ARGENTINA; 374:ARMENIA; 297:ARUB,CountryCode (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode.PinCode,Optional,integer,Scalar,pattern=[1-9]{1}[0-9]{5}; max=999999; min=100000,,,,
ITR2.ScheduleHP.PropertyDetails[].AddressDetailWithZipCode.ZipCode,Optional,object,Nested Object,maxLength=8,,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].PropertyOwner,Mandatory,object,Nested Object,,"SE, MI, SP, OT",SE - Self; MI - Minor; SP - Spouse; OT - Others, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].PropertyOwnerOther,Optional,object,Nested Object,maxLength=50,,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].PropCoOwnedFlg,Mandatory,object,Nested Object,,"YES, NO",Property co-owned by other than the taxpayer (if please enter following details), (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].AsseseeShareProperty,Mandatory,number,Scalar,max=100; min=0; multipleOf=0.01; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].CoOwners,Optional,array,Array,,,,,items: object
ITR2.ScheduleHP.PropertyDetails[].CoOwners[].CoOwnersSNo,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleHP.PropertyDetails[].CoOwners[].NameCoOwner,Mandatory,object,Nested Object,maxLength=125; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].CoOwners[].PAN_CoOwner,Optional,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].CoOwners[].Aadhaar_CoOwner,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].CoOwners[].PercentShareProperty,Optional,number,Scalar,max=100; min=0; multipleOf=0.01,,,,
ITR2.ScheduleHP.PropertyDetails[].ifLetOut,Mandatory,object,Nested Object,default=Y,"L, D, S",L - Let Out; D - Deemed let out; S - Self Occupied, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].TenantDetails,Optional,array,Array,,,,,items: object
ITR2.ScheduleHP.PropertyDetails[].TenantDetails[].TenantSNo,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleHP.PropertyDetails[].TenantDetails[].NameofTenant,Mandatory,object,Nested Object,maxLength=125; minLength=1,,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].TenantDetails[].PANofTenant,Optional,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].TenantDetails[].AadhaarofTenant,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].TenantDetails[].PANTANofTenant,Optional,object,Nested Object,pattern=[A-Z]{4}[0-9]{5}[A-Z]|[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleHP.PropertyDetails[].Rentdetails,Mandatory,object,Nested Object,,,Rent Details,Rentdetails,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.AnnualLetableValue,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.RentNotRealized,Optional,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.LocalTaxes,Optional,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.TotalUnrealizedAndTax,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.BalanceALV,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.AnnualOfPropOwned,Mandatory,integer,Scalar,max=99999999999999; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.ThirtyPercentOfBalance,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.IntOnBorwCap,Optional,integer,Scalar,max=99999999999999; min=0; default=0,,Interest payable on borrowed capital,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.Section24B,Optional,object,Nested Object,,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.TotalDeduct,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,Interest plus 30% of annual value,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.ArrearsUnrealizedRentRcvd,Optional,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleHP.PropertyDetails[].Rentdetails.IncomeOfHP,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999; default=0,,,,
ITR2.ScheduleHP.PassThroghIncome,Optional,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleHP.TotalIncomeChargeableUnHP,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999; default=0,,House Property income,,
ITR2.ScheduleCGFor23,Optional,object,Nested Object,,,,ScheduleCGFor23,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23,Mandatory,object,Nested Object,,,,ShortTermCapGainFor23,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleofLandBuild,Optional,object,Nested Object,,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.EquityMFonSTT,Optional,array,Array,maxItems=2,,,,items: object
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRITransacSec48Dtl,Mandatory,object,Nested Object,,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD,Mandatory,object,Nested Object,,,,EquityOrUnitSec94Type,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.FullValueConsdRecvUnqshr,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullValueConsdRecvUnqshr,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.FairMrktValueUnqshr,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FairMrktValueUnqshr,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.FullValueConsdSec50CA,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullValueConsdSec50CA,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.FullValueConsdOthUnqshr,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullValueConsdOthUnqshr,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.FullConsideration,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullConsideration,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.DeductSec48,Mandatory,object,Nested Object,,,,DeductSec48,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.DeductSec48.AquisitCost,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.DeductSec48.ImproveCost,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.DeductSec48.ExpOnTrans,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.DeductSec48.TotalDedn,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.BalanceCG,Mandatory,integer,Scalar,max=99999999999999,,,BalanceCG,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.LossSec94of7Or94of8,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRISecur115AD.CapgainonAssets,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,CapgainonAssets,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets,Mandatory,object,Nested Object,,,,EquityOrUnitSec94Type,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.FullValueConsdRecvUnqshr,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullValueConsdRecvUnqshr,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.FairMrktValueUnqshr,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FairMrktValueUnqshr,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.FullValueConsdSec50CA,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullValueConsdSec50CA,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.FullValueConsdOthUnqshr,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullValueConsdOthUnqshr,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.FullConsideration,Mandatory,integer,Scalar,max=99999999999999; min=0,,,FullConsideration,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.DeductSec48,Mandatory,object,Nested Object,,,,DeductSec48,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.DeductSec48.AquisitCost,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.DeductSec48.ImproveCost,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.DeductSec48.ExpOnTrans,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.DeductSec48.TotalDedn,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.BalanceCG,Mandatory,integer,Scalar,max=99999999999999,,,BalanceCG,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.LossSec94of7Or94of8,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.SaleOnOtherAssets.CapgainonAssets,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,CapgainonAssets,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.UnutilizedStcgFlag,Optional,object,Nested Object,,"Y, N, X",Y - Yes; N - No; X - Not Applicable, (allOf: nonEmptyString),
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.UnutilizedCg,Optional,object,Nested Object,,,,UnutilizedCgPrvYrStcg,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.UnutilizedCg.UnutilizedCgPrvYrDtls,Optional,array,Array,minItems=1,,,,items: object
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.AmtDeemedStcg,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.TotalAmtDeemedStcg,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.PassThrIncNatureSTCG,Mandatory,integer,Scalar,max=99999999999999; default=0,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.PassThrIncNatureSTCG20Per,Optional,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.PassThrIncNatureSTCG30Per,Optional,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.PassThrIncNatureSTCGAppRate,Optional,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRICgDTAA,Optional,object,Nested Object,,,,NRITaxUsDTAAStcgType,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.NRICgDTAA.NRIDTAADtls,Optional,array,Array,minItems=1,,,,items: object
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.TotalAmtNotTaxUsDTAAStcg,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.TotalAmtTaxUsDTAAStcg,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.CapitalLossBuyBackShares,Optional,object,Nested Object,,,,,
ITR2.ScheduleCGFor23.ShortTermCapGainFor23.TotalSTCG,Mandatory,integer,Scalar,max=99999999999999; min=-99999999999999,,,,
ITR2.ScheduleCGFor23.LongTermCapGain23,Mandatory,object,Nested Object,,,,LongTermCapGain23,
ITR2.ScheduleCGFor23.LongTermCapGain23.SaleofLandBuild,Optional,object,Nested Object,,,,,
ITR2.ScheduleCGFor23.LongTermCapGain23.Proviso112Applicable,Optional,array,Array,maxItems=2,,,,items: object
ITR2.ScheduleCGFor23.LongTermCapGain23.SaleOfEquityShareUs112A,Mandatory,object,Nested Object,,,,EquityShareUs112A,
