Full Path,Mandatory/Optional,Data Type,Structure,Constraints,Enum Values,Description,Ref,Array Info
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxDeductedIncome,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxDeductedTDS,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxClaimedOwnHands,Mandatory,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxClaimedIncome,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxClaimedTDS,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.TaxClaimedSpouseOthPrsnPAN,Optional,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].TaxDeductCreditDtls.SpouseOthPrsnAadhaar,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].GrossAmount,Optional,integer,Scalar,max=99999999999999; min=0,,,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].HeadOfIncome,Optional,string,Scalar,,"HP, CG, OS, EI, NA",HP - Income from House Property; CG - Income from Capital Gains; OS - Income from Other Sources; EI - Exempt Income; NA - Not Applicable,,
ITR2.ScheduleTDS2.TDSOthThanSalaryDtls[].AmtCarriedFwd,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,AmtCarriedFwd,
ITR2.ScheduleTDS2.TotalTDSonOthThanSals,Mandatory,integer,Scalar,max=99999999999999; min=0; default=0,,,,
ITR2.ScheduleTDS3,Optional,object,Nested Object,,,,ScheduleTDS3,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls,Optional,array,Array,minItems=1,,,,items: object
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TDSCreditName,Mandatory,string,Scalar,,"S, O",S - Self; O - Other Person,,
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].PANofOtherPerson,Optional,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].AadhaarOfOtherPerson,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].PANOfBuyerTenant,Mandatory,object,Nested Object,pattern=[A-Z]{5}[0-9]{4}[A-Z],,, (allOf: nonEmptyString),
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].AadhaarOfBuyerTenant,Optional,object,Nested Object,pattern=[0-9]{12},,, (allOf: nonEmptyString),
ITR2.ScheduleTDS3.TDS3onOthThanSalDtls[].TDSSection,Mandatory,object,Nested Object,,"92A, 92B, 92C, 192A, 193, 194, 94A, 94B, 94BA, 4BB, 94C, 94D, 4DA, 94E, 4EE, 4F, 4G, 4H, 4-IA, 4-IB ... (+39 more)",92A:192- Salary-Payment to Government employees other than Indian Government employees; 92B:192- Salary-Payment to employees other than Government employees; 92C:192- Salary-Payment to Indian Governme, (allOf: nonEmptyString),
